title,company,location,date_posted,score,job_url
AI Solutions Engineer,NTT DATA,"KA, IN",3/10/2026,0.5982909,https://in.indeed.com/viewjob?jk=bd8b90f4dcb028b8
AI Solutions Engineer,NTT DATA,"KA, IN",3/10/2026,0.5982909,https://in.indeed.com/viewjob?jk=00af7335854993d0
Sr. Consultant -AI and ML,Technovalley Software India Pvt Ltd,"KL, IN",3/11/2026,0.5702931,https://in.indeed.com/viewjob?jk=bef3476b35dc8e95
AI Engineer,Toptalcare,"TN, IN",3/12/2026,0.5640838,https://in.indeed.com/viewjob?jk=987ae5d274518002
AI Solutions Engineer,NTT DATA,"KA, IN",3/10/2026,0.55839294,https://in.indeed.com/viewjob?jk=b2495b98ae250106
AI Solutions Engineer,NTT DATA,"KA, IN",3/10/2026,0.55839294,https://in.indeed.com/viewjob?jk=bea53abf0b6993e9
Data Scientist,CodeClouds,Calcutta,3/11/2026,0.5553553,https://www.glassdoor.co.in/job-listing/j?jl=1010060640694
Senior Data Scientist - I,MetLife,India,3/11/2026,0.5477734,https://www.glassdoor.co.in/job-listing/j?jl=1010060523435
Senior AI Solutions Engineer,NTT DATA,"KA, IN",3/10/2026,0.545962,https://in.indeed.com/viewjob?jk=87365b639633a131
Gen AI Data Scientist,NewVision Softcom & Consultancy,Pune,3/13/2026,0.54123104,https://www.glassdoor.co.in/job-listing/j?jl=1010063728330
Gen AI Data Scientist,Newvision Softcom & Consultancy Pvt. Ltd,"MH, IN",3/12/2026,0.54123104,https://in.indeed.com/viewjob?jk=2397bb985cd70018
Principal Al Engineer,Cornerstone OnDemand,"TS, IN",3/12/2026,0.5251837,https://in.indeed.com/viewjob?jk=c2a0f73b727ec034
Senior Principal Al Engineer,Cornerstone OnDemand,"TS, IN",3/12/2026,0.52142406,https://in.indeed.com/viewjob?jk=3f96cde159361988
Lead Data Science,Capgemini,"KA, IN",3/4/2026,0.51272726,https://in.indeed.com/viewjob?jk=a16da8e225b208ec
Gen AI Lead,Orion Systems Integrators Inc,"TN, IN",3/11/2026,0.51053584,https://in.indeed.com/viewjob?jk=93859e5cbabc21fb
Technical Lead – AI Engineer,Dinjan Infotech,"Remote, IN",3/12/2026,0.50671566,https://in.indeed.com/viewjob?jk=7430ad1b11974da1
Equipment Data Foundation Model Specialist,GE HealthCare,"KA, IN",3/10/2026,0.50465614,https://in.indeed.com/viewjob?jk=dbfe83964ea7af02
Senior Data Scientist,Capgemini,"KA, IN",3/4/2026,0.5013538,https://in.indeed.com/viewjob?jk=8f6155bb0ebef59c
Applied AI ML Lead,JPMorganChase,"KA, IN",3/12/2026,0.50135225,https://in.indeed.com/viewjob?jk=86454b46268ba50d
AI Engineer,Tudip Technologies,IN,3/10/2026,0.49481046,https://in.indeed.com/viewjob?jk=8664e676260e72fe
Gen AI Engineer,Tata Consultancy Services (TCS),"GJ, IN",3/12/2026,0.48905537,https://in.indeed.com/viewjob?jk=058d6089795d94b9
Artificial Intelligence Engineer,Webappclouds,India,3/11/2026,0.48479795,https://www.glassdoor.co.in/job-listing/j?jl=1010060263702
Technical Product - Associate Manager,Iris Software,Noida,3/12/2026,0.48345113,https://www.glassdoor.co.in/job-listing/j?jl=1010062049385
Technical Product - Associate Manager,Iris Software,"UP, IN",3/11/2026,0.48345113,https://in.indeed.com/viewjob?jk=30eb07d5026f6cec
Associate Data Scientist,Capgemini,Bengaluru,3/12/2026,0.48304176,https://www.glassdoor.co.in/job-listing/j?jl=1010062475380
Associate Data Scientist,Capgemini,"KA, IN",3/5/2026,0.48304176,https://in.indeed.com/viewjob?jk=7875b5e0e6f1a4de
Manager – Data Scientist.,Genpact,"TS, IN",3/12/2026,0.47977,https://in.indeed.com/viewjob?jk=b7507f6e748378d9
AI / ML Engineer,Accenture,Hyderābād,3/11/2026,0.47874087,https://www.glassdoor.co.in/job-listing/j?jl=1009644554768
Data Scientist (US Value & Access Insights),Amgen,Hyderābād,3/12/2026,0.47644052,https://www.glassdoor.co.in/job-listing/j?jl=1010062285944
Data Scientist (US Value & Access Insights),Amgen,"TS, IN",3/10/2026,0.47644052,https://in.indeed.com/viewjob?jk=b309af37def06468
Analyst,InfoCepts,India,3/13/2026,0.46882504,https://www.glassdoor.co.in/job-listing/j?jl=1010063745702
Analyst,InfoCepts,"KA, IN",3/12/2026,0.46882504,https://in.indeed.com/viewjob?jk=429140961cd35e30
TM Data Science,Aditya Birla Group,"MH, IN",3/11/2026,0.46623892,https://in.indeed.com/viewjob?jk=90fc0a8b5a8ad847
TM Data Science,Aditya Birla Group,,3/12/2026,0.46623892,https://www.glassdoor.co.in/job-listing/j?jl=1010062297983
AI Engineer - Global Analytic,Concentrix,"KA, IN",2/12/2026,0.4605214,https://in.indeed.com/viewjob?jk=2e99884c8e83d7f3
Data Scientist -Agentic AI,Duanamize Global Services,Coimbatore,3/11/2026,0.46012908,https://www.glassdoor.co.in/job-listing/j?jl=1010060324384
AI Intern,Volody Product Pvt Lltd,India,3/11/2026,0.44789356,https://www.glassdoor.co.in/job-listing/j?jl=1010060571322
Applied AI Engineer II,Microsoft,Bengaluru,3/11/2026,0.44145223,https://www.glassdoor.co.in/job-listing/j?jl=1010060756983
Lead Data Scientist,Mastercard,"MH, IN",3/10/2026,0.43965307,https://in.indeed.com/viewjob?jk=ed9a7aa541d90633
Senior IT Process Analyst – ITSM AI Specialist,Ensono,"MH, IN",3/10/2026,0.43712497,https://in.indeed.com/viewjob?jk=0c275b7f3fbbd5d7
Data Science,Capgemini,"MH, IN",2/23/2026,0.43249577,https://in.indeed.com/viewjob?jk=da1c41a0e01d6b6f
Data Science,Capgemini,Mumbai,3/12/2026,0.43249577,https://www.glassdoor.co.in/job-listing/j?jl=1010061817177
Senior AI / Machine Learning Engineer – OCR & Document Intelligence,Big Wings LLC,Bengaluru,3/11/2026,0.43213296,https://www.glassdoor.co.in/job-listing/j?jl=1010060684739
Sr Manager GTN Innovation,Amgen,"TS, IN",3/10/2026,0.42521477,https://in.indeed.com/viewjob?jk=98279b11278bc0a1
Senior Applied AI Engineer,Microsoft,"KA, IN",1/23/2026,0.42228138,https://in.indeed.com/viewjob?jk=feea6c91cb678d69
Junior Data Scientist - DHL Global Functions - INDIA,DHL,IN,3/10/2026,0.42167634,https://in.indeed.com/viewjob?jk=5cccb4059c07a4e7
ML Data Scientist,Apple,"TS, IN",3/9/2026,0.4134649,https://in.indeed.com/viewjob?jk=59229c404c27516e
ML Data Scientist,Apple,India,3/11/2026,0.4134649,https://www.glassdoor.co.in/job-listing/j?jl=1010061161014
Solutions Consultant - Analytics & Innovation:,LSEG (London Stock Exchange Group),Mumbai,3/11/2026,0.4129936,https://www.glassdoor.co.in/job-listing/j?jl=1010060551374
Research Engineer II,Microsoft,Bengaluru,3/12/2026,0.40592557,https://www.glassdoor.co.in/job-listing/j?jl=1010062494767
Research Engineer II,Microsoft,"KA, IN",2/13/2026,0.40592557,https://in.indeed.com/viewjob?jk=95d198d279bc8465
Sr. D&T Data Scientist,General Mills,"MH, IN",3/10/2026,0.40220353,https://in.indeed.com/viewjob?jk=d3598564df6ad46f
"Applied Scientist, Central Machine Learning",Amazon.com,"KA, IN",10/8/2025,0.39931524,https://in.indeed.com/viewjob?jk=59e263950338dd45
"Applied Scientist, Central Machine Learning",Amazon.com,"TS, IN",10/8/2025,0.39931524,https://in.indeed.com/viewjob?jk=95f54ca6b5e75a8d
"Applied Scientist, Central Machine Learning",ADCI - Karnataka,Hyderābād,3/13/2026,0.39931524,https://www.glassdoor.co.in/job-listing/j?jl=1010063793552
Senior Data Scientist I,Elsevier,IN,3/10/2026,0.39273864,https://in.indeed.com/viewjob?jk=0f5490be7d599493
Senior Data Scientist I,RELX Group,IN,3/10/2026,0.39273864,https://in.indeed.com/viewjob?jk=a64f95ad6c5c9fca
Data Scientist - Analyst,JPMorganChase,"KA, IN",3/12/2026,0.38771236,https://in.indeed.com/viewjob?jk=49e6ae576125ebbb
Lead Data Scientist,Data Axle,Pune,3/13/2026,0.3875054,https://www.glassdoor.co.in/job-listing/j?jl=1010063458419
Lead Data Scientist,Data Axle,"MH, IN",3/11/2026,0.3875054,https://in.indeed.com/viewjob?jk=33fc3dfe29f3722a
Data Scientist,Whitefield Careers Private Limited,"KA, IN",3/11/2026,0.387185,https://in.indeed.com/viewjob?jk=4bf0435474001922
Data Scientist,Whitefield Careers Private Limited,Bengaluru,3/12/2026,0.387185,https://www.glassdoor.co.in/job-listing/j?jl=1010062211726
Software Engineer II,Microsoft,Hyderābād,3/11/2026,0.38660532,https://www.glassdoor.co.in/job-listing/j?jl=1010060756913
"Engineer, Staff-Machine Learning Tools-C++,Embedded",Qualcomm,"TS, IN",3/10/2026,0.38552547,https://in.indeed.com/viewjob?jk=1083ecf2dd267a5c
EMC ML Engineer,Apple,"KA, IN",3/9/2026,0.3749646,https://in.indeed.com/viewjob?jk=9426866cce28b2ca
EMC ML Engineer,Apple,"KA, IN",3/9/2026,0.3749646,https://in.indeed.com/viewjob?jk=4ae12d7b7d316cf4
Senior Analyst - Medical Informatics,AstraZeneca,"TN, IN",3/10/2026,0.37450922,https://in.indeed.com/viewjob?jk=f094d155b405d7ed
Data Scientist,Acviss Technologies Pvt. Ltd.,Bengaluru,3/11/2026,0.3686131,https://www.glassdoor.co.in/job-listing/j?jl=1010060548487
Applied AI ML Associate Senior,JPMorganChase,Bengaluru,3/13/2026,0.36658567,https://www.glassdoor.co.in/job-listing/j?jl=1010062866780
Applied AI ML Associate Senior,JPMorganChase,"KA, IN",3/11/2026,0.36658567,https://in.indeed.com/viewjob?jk=9528b88444b9ffc1
Associate Director- Innovation,HSBC,"KA, IN",3/10/2026,0.34594268,https://in.indeed.com/viewjob?jk=1332faf80360bf6e
"Assistant Director,UWS Ops Analytics Lead UK",HSBC,"KA, IN",3/12/2026,0.32457078,https://in.indeed.com/viewjob?jk=0dfb7be729cf1c7a
Lead Digital Product Development,Kenvue,"KA, IN",3/11/2026,0.3047772,https://in.indeed.com/viewjob?jk=79bd2936bb42fea3
ML Engineer,Payoda,Hyderābād,3/13/2026,0.23773354,https://www.glassdoor.co.in/job-listing/j?jl=1010063489346
ML Engineer,PAYODA,"TS, IN",3/12/2026,0.23773354,https://in.indeed.com/viewjob?jk=52b7e6439b10afbd
Senior Data Scientist I,Elsevier,India,3/11/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010060896253
Sr. Consultant -AI and ML,Technovalley Software India Pvt Ltd,Cochin,3/12/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010062335873
Equipment Data Foundation Model Specialist,GE HEALTHCARE,Bengaluru,3/11/2026,0.09356899,https://www.glassdoor.co.in/job-listing/j?jl=1010061079214
Senior AI Engineer,Takeda Pharmaceutical,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060045384
"Engineer, Staff-Machine Learning Tools-C++,Embedded",Qualcomm,Hyderābād,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061398127
AI Solutions Engineer,NTT Ltd,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060821648
Senior Principal Al Engineer,"Cornerstone OnDemand, Inc.",India,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063717377
Lead Data Science,Capgemini,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062478381
Gen AI Engineer,Tata Consultancy Services,Ahmedabad,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063508119
"Assistant Director,UWS Ops Analytics Lead UK",HSBC Global Services Limited,India,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063709080
Technical Lead – AI Engineer,Dinjan Group,,3/13/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010063558084
Full Stack Developer Intern,Skillsprout IT,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060595212
"Junior Software Engineer, AI/ML",ValGenesis,Hyderābād,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1009792532440
Senior Data Scientist,Capgemini,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061817110
AI Engineer - Global Analytic,Concentrix,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062606233
Associate Director- Innovation,HSBC Global Services Limited,Bengaluru,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062356321
Lead Consultant – Azure AI Engineer,Genpact,Noida,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1009911526512
Gen AI Lead,"Orion Systems Integrators, Inc.",Chennai,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062397116
Sr. D&T Data Scientist,General Mills,Mumbai,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010061041877
"Vice President, Services Payments Analytics",Citi,Bengaluru,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060289424
AI Engineer,Fulcrum Digital,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060675427
Senior IT Process Analyst – ITSM AI Specialist,Ensono,Pune,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060951408
Sr Manager GTN Innovation,Amgen,Hyderābād,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060770159
AI/ML Engineer,Insphere Solutions.Private Limited,Pitampura,3/11/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010060737099
Junior Data Scientist - DHL Global Functions - INDIA,DHL,India,3/12/2026,0.093568966,https://www.glassdoor.co.in/job-listing/j?jl=1010062174099
